Churn,Support_Calls,Total_Spend,Payment_Delay,Contract_Length=Monthly
1,5,932.00,18,0
1,10,557.00,8,1
1,6,185.00,18,0
1,7,396.00,7,1
1,5,617.00,8,1
1,9,129.00,26,0
1,3,821.00,16,0
1,4,445.00,15,0
1,7,969.00,4,0
1,2,415.00,11,0
1,0,930.00,30,0
1,3,830.00,26,1
1,10,265.00,25,0
1,1,518.00,13,0
1,4,204.00,22,0
1,2,975.00,30,0
1,7,978.00,11,0
1,1,151.00,5,0
1,5,669.00,4,1
1,2,262.00,14,0
1,3,212.00,3,0
1,4,577.00,15,1
1,8,436.00,18,0
1,7,434.00,3,1
1,0,822.00,10,1
1,7,435.00,22,0
1,8,830.00,28,0
1,0,857.00,5,0
1,6,574.00,2,0
1,8,800.00,6,1
1,10,424.00,27,0
1,8,232.00,28,1
1,2,289.00,10,0
1,7,371.00,5,0
1,5,288.00,12,0
1,2,939.00,4,0
1,10,336.00,13,0
1,8,572.00,6,1
1,10,770.00,29,1
1,3,413.00,12,1
1,6,993.00,17,0
1,4,871.00,6,1
1,7,929.00,13,0
1,7,488.00,22,0
1,6,874.00,13,0
1,7,988.00,24,0
1,7,631.00,13,1
1,9,626.00,9,0
1,2,583.00,11,0
1,1,717.00,23,0
1,10,111.00,3,1
1,7,869.00,29,0
1,9,296.00,21,0
1,10,643.00,1,1
1,1,196.00,11,0
1,3,501.00,29,1
1,8,966.00,21,1
1,6,288.00,26,0
1,1,400.00,27,0
1,8,618.00,6,0
1,3,999.00,1,0
1,4,214.00,26,0
1,1,282.00,6,0
1,8,548.00,28,1
1,6,820.00,5,0
1,3,575.00,29,0
1,0,736.00,6,1
1,7,753.00,23,0
1,5,538.00,16,0
1,0,688.00,4,0
1,10,679.00,0,1
1,9,530.00,23,0
1,9,383.00,22,1
1,4,369.00,26,0
1,2,760.00,10,1
1,7,768.00,21,0
1,6,808.00,17,1
1,8,681.00,13,0
1,1,858.00,24,0
1,5,159.00,0,1
1,7,624.00,7,1
1,7,925.00,2,0
1,3,531.00,25,0
1,3,769.00,28,0
1,5,299.00,10,0
1,9,785.00,24,0
1,1,389.00,7,1
1,4,507.00,28,0
1,2,392.00,7,0
1,6,392.00,23,0
1,5,699.00,1,0
1,0,268.00,17,0
1,7,139.00,26,1
1,3,871.00,18,1
1,3,404.00,1,1
1,0,269.00,20,0
1,0,820.00,24,0
1,5,590.00,18,1
1,8,566.00,25,1
1,2,435.00,4,0
1,4,649.00,11,0
1,5,212.00,16,0
1,2,552.00,4,0
1,9,421.00,29,0
1,2,202.00,19,0
1,3,236.00,3,0
1,0,545.00,11,0
1,4,414.00,13,1
1,2,336.00,5,1
1,10,882.00,16,1
1,7,856.00,29,1
1,2,382.00,6,0
1,10,365.00,14,1
1,4,330.00,27,0
1,7,867.00,17,1
1,7,832.00,10,0
1,5,552.00,15,0
1,0,672.00,9,1
1,7,866.00,4,0
1,1,604.00,1,0
1,1,917.00,10,0
1,0,801.00,6,1
1,8,985.00,21,0
1,5,295.00,0,0
1,10,153.00,16,0
1,8,326.00,28,0
1,0,269.00,5,0
1,9,537.00,18,0
1,4,684.00,5,0
1,10,341.00,0,0
1,8,344.00,27,1
1,10,890.00,1,0
1,1,959.00,23,0
1,8,517.00,20,0
1,9,658.00,17,0
0,0,787.00,6,0
1,6,833.00,28,0
1,5,877.00,28,0
1,7,584.00,15,1
1,5,947.00,9,0
1,9,325.00,1,0
1,5,376.00,9,1
1,4,855.00,15,1
1,6,860.00,22,0
1,2,288.00,12,0
1,2,398.00,26,1
0,1,953.00,7,0
1,1,761.00,4,0
1,4,770.00,17,0
1,6,183.00,5,1
1,3,374.00,25,0
1,2,285.00,1,1
1,10,294.00,17,0
0,2,594.00,17,0
1,5,505.00,6,0
1,6,616.00,23,0
1,0,937.00,2,1
1,7,109.00,9,0
1,2,411.00,15,1
1,10,890.00,6,1
1,6,338.00,16,0
1,10,609.00,8,0
1,4,226.00,4,1
1,8,261.00,29,0
1,9,900.00,25,0
1,10,503.00,4,0
1,4,443.00,16,0
1,2,537.00,8,0
1,9,535.00,27,1
1,3,971.00,7,1
1,8,351.00,19,0
1,1,201.00,5,0
1,10,966.00,3,1
1,1,875.00,20,1
1,4,228.00,25,0
1,8,165.00,15,1
0,1,850.00,10,0
1,1,729.00,11,0
1,1,167.00,7,0
1,1,693.00,29,0
1,8,854.00,19,0
1,8,426.00,11,0
1,7,868.00,17,0
1,1,408.00,19,1
1,10,152.00,7,1
1,3,448.00,9,1
1,5,326.00,24,1
