Churn,Support_Calls,Total_Spend,Payment_Delay,Contract_Length=Monthly
0,2,666.7,19,0
0,1,644.94,20,0
0,2,894.73,10,0
0,2,773.47,10,0
1,9,908,11,0
0,1,697.33,13,0
0,2,620.26,1,0
1,5,107.71,7,1
0,1,697.79,11,0
1,3,468,7,0
1,2,411,21,0
1,7,873,14,1
0,1,822.87,19,0
0,2,652.35,9,0
0,3,715.94,12,0
1,4,964,18,1
0,4,728.41,8,0
1,9,470,24,1
0,2,522.93,8,0
0,2,685.56,19,0
1,5,491,6,1
0,4,798.73,0,0
0,0,766.65,6,0
0,1,836.25,2,0
1,5,166,11,0
0,4,718.27,0,0
0,0,843.58,13,0
0,0,992.72,1,0
1,0,831,6,1
1,9,227,0,1
0,1,559.05,3,0
1,8,315,6,0
0,2,508.03,15,0
0,4,903.46,1,0
0,0,663,17,0
1,10,151.35,5,1
1,3,338,8,0
0,2,537.98,8,0
1,1,379,25,1
1,6,219.95,27,0
1,3,856.66,6,0
0,3,649.99,15,0
0,0,546.58,15,0
1,1,323.84,12,0
1,7,566,17,0
0,3,563.41,2,0
0,4,924.01,6,0
1,0,415.42,30,0
0,0,596.51,4,0
0,0,906.54,10,0
1,0,306.77,30,0
0,1,993.74,7,0
0,0,661.19,14,0
1,0,379,11,1
0,2,709.92,4,0
0,2,625.67,0,0
1,6,763,29,0
1,3,159,0,1
1,5,774.62,28,1
0,2,656.05,6,0
1,3,921,28,1
1,10,851,28,0
1,10,808,7,0
0,0,712.93,7,0
0,3,700.65,7,0
0,1,597.01,1,0
1,0,274,5,0
0,1,774.17,7,0
0,2,924.18,20,0
1,0,500,29,0
0,0,615,4,0
1,4,750.03,18,0
1,3,517.11,8,0
0,4,841.77,1,0
1,10,704,25,0
1,0,953,28,1
0,1,957.63,19,0
1,1,750,30,1
0,2,981.81,7,0
1,9,289,1,0
1,4,368,11,0
0,3,963.2,17,0
0,3,639.22,11,0
1,5,430.74,16,0
1,4,998,29,0
0,2,855.77,11,0
0,0,922.11,3,0
0,2,761.93,19,0
0,3,973.43,17,0
0,0,967.97,13,0
1,7,306.61,8,0
1,8,543,29,0
0,0,742.79,15,0
0,0,875.66,12,0
1,7,243,14,1
0,0,985.65,12,0
1,10,666,29,0
0,0,729.53,0,0
1,8,320,3,0
0,3,596,0,0
0,3,897.42,8,0
1,3,891,13,1
0,1,802.63,10,0
0,2,874.31,18,0
1,4,820,21,0
0,2,905.38,5,0
1,10,927,28,0
1,9,525,1,0
0,2,767.87,20,0
0,3,927.99,17,0
1,6,638.49,15,1
0,0,622.53,9,0
1,1,529,0,0
1,1,620.18,15,0
1,2,957,6,0
1,8,728.35,25,0
0,0,606.78,15,0
1,6,349.95,6,1
0,0,760.83,7,0
0,0,516.39,11,0
1,8,264.82,0,1
0,0,902.56,6,0
1,0,126,6,0
1,6,808,29,1
0,3,559.64,9,0
0,1,925.87,8,0
1,10,449,8,0
1,4,955,25,0
0,2,986.79,18,0
1,5,902,24,0
0,1,941.84,4,0
0,1,696.03,10,0
0,1,839.38,5,0
0,0,609.71,4,0
1,2,496,9,0
1,5,487,1,1
0,3,775.44,6,0
1,8,414,24,0
0,4,597.7,10,0
0,2,945.73,18,0
0,5,793.77,7,0
1,9,661,12,0
0,0,914.63,7,0
1,5,690.81,10,0
0,4,939.01,5,0
0,0,834.46,16,0
1,2,480,10,0
0,0,526.97,8,0
1,5,492,25,0
1,3,234,22,0
0,3,555.03,13,0
0,2,658.23,13,0
1,7,955,8,1
1,4,694.1,29,0
0,0,620.53,2,0
0,0,727.38,14,0
0,2,789.49,2,0
1,10,531,27,0
1,4,411,4,0
1,5,424,25,0
0,1,755.61,15,0
1,6,802,18,0
0,1,723.37,15,0
1,9,740,28,0
1,9,141.03,3,0
1,0,528,16,0
1,9,424,22,0
0,2,720.94,4,0
1,4,708.37,24,0
1,6,942,6,1
0,1,927.98,16,0
1,0,912,4,0
0,4,832.84,6,0
1,4,565,24,0
1,4,565,21,1
0,2,563.5,9,0
1,10,437,26,1
1,6,187,11,1
0,1,586.78,0,0
0,2,774.2,1,0
1,7,939,19,0
1,3,867,19,0
0,2,871.64,15,0
0,2,776.03,16,0
1,3,197.96,24,0
0,3,799.44,1,0
0,0,644,0,0
1,4,849.95,1,0
0,2,528.86,17,0
0,0,625.15,16,0
0,2,605.08,0,0
1,1,874,6,0
0,0,927.78,5,0
0,1,860.05,18,0
1,0,390,5,0
1,8,840,15,1
1,6,380,5,0
1,1,252,7,0
1,9,199,13,0
1,3,974,29,0
0,1,684.18,8,0
0,1,554.09,20,0
0,0,603.22,2,0
0,1,512.64,11,0
1,3,397,13,1
0,2,503.54,14,0
0,2,775.38,11,0
1,7,785.1,7,1
0,3,511.93,1,0
0,5,960.18,3,0
0,0,633.95,2,0
0,4,826.28,8,0
0,4,834.76,1,0
1,2,896,21,0
0,2,553.59,0,0
1,1,972.46,6,0
1,7,809,0,0
0,0,601.56,13,0
1,4,419.31,19,1
0,2,594.37,13,0
1,10,649,7,0
0,3,694.39,12,0
1,5,685.37,13,0
1,2,426,11,0
0,2,725.32,9,0
0,2,761.37,1,0
1,4,302,18,0
1,7,538,9,0
0,4,526.12,20,0
0,3,683.31,8,0
0,2,699.06,14,0
1,9,278,21,0
1,0,795,6,0
1,4,242,17,0
1,6,310,5,0
0,1,759.92,7,0
1,7,384,6,1
1,1,385,26,0
1,3,794,30,1
1,7,132,28,0
1,3,132,9,1
1,7,937,18,1
0,1,856.32,20,0
0,2,683.28,4,0
1,9,668,5,0
